time,AQI,SO2,NOX,PM10,PM25,NH3
01/01/2016,67,,,62,,
01/02/2016,68,,,68,,
01/03/2016,71,,,71,,
01/04/2016,70,,,70,,
01/05/2016,71,,,69,40,
01/06/2016,40,4,15,66,40,21
01/07/2016,60,4,16,60,30,21
01/08/2016,61,4,17,61,29,21
01/09/2016,58,5,18,58,28,21
01/10/2016,67,5,22,67,33,21
01/11/2016,63,5,20,63,30,21
01/12/2016,65,5,21,65,34,21
01/01/2017,64,5,21,64,35,21
01/02/2017,64,5,21,64,32,21
01/03/2017,68,6,20,68,30,21
01/04/2017,69,5,20,69,35,21
01/05/2017,71,5,19,71,35,21
01/06/2017,66,4,20,66,32,18
01/07/2017,62,5,21,61,32,17
01/08/2017,60,5,21,61,28,17
01/09/2017,61,5,21,61,28,17
01/10/2017,65,5,22,62,31,16
01/11/2017,63,6,21,63,28,15
01/12/2017,64,6,21,64,28,18
01/01/2018,66,6.1,21.3,66,28,
01/02/2018,67,6.2,21.5,67,31,
01/03/2018,70,6,21.3,70,33,
01/04/2018,74,6,22.1,74,35,
01/05/2018,74,5.9,22.4,74,34,
01/06/2018,69,5.8,22.4,69,29,
01/07/2018,64,5.9,22.4,64,27,
01/08/2018,64,5.7,22.4,64,26,
01/09/2018,62,5.7,23.9,61,28,
01/10/2018,67,5.9,25.8,67,28,
01/11/2018,75,6.3,26.8,71,41,
01/12/2018,81,5.7,24.9,81,47,
01/01/2019,76,5.9,24.8,74,45,
01/02/2019,77,6,24.8,75,46,
01/03/2019,79,5.7,24.5,76,46,
01/04/2019,78,5.7,24.3,77,44,
01/05/2019,80,5.2,24.8,80,45,
01/06/2019,77,5.4,25.7,75,43,
01/07/2019,78,5.5,26,76,45,
01/08/2019,79,4.7,24.3,77,46,
01/09/2019,73,4.4,23.5,57,44,
01/10/2019,72,4.7,24.9,72,,
01/11/2019,79,4.5,24.6,75,47,
01/12/2019,73,5.2,25.7,73,,
01/01/2020,78,5.8,27.6,78,,10
01/02/2020,82,5.6,26.6,82,,10
01/03/2020,71,4.7,22.2,71,,10
01/04/2020,52,2,15.8,52,,10
01/05/2020,68,,,,,
01/06/2020,74,4.7,24.2,75,,10
01/07/2020,74,5.5,24,74,,10
01/08/2020,72,4.6,21.5,72,,10
01/09/2020,72,5.3,23.7,72,,10
01/10/2020,72,5.3,23.8,72,,10
01/11/2020,68,,,,,
01/12/2020,68,,,,,
01/01/2021,68,,,,,
01/02/2021,62,5.1,23,62,,20
01/03/2021,73,6.6,25.2,73,,18
01/04/2021,74,6.1,25.4,74,,19
01/05/2021,67,6,23,67,,17
01/06/2021,68,,,,,
01/07/2021,68,,,,,
01/08/2021,68,,,,,
01/09/2021,68,,,,,
01/10/2021,68,,,,,
01/11/2021,68,,,,,
01/12/2021,68,,,,,
01/01/2022,68,,,,,
01/02/2022,68,,,,,
01/03/2022,56,8.2,25.6,56,,14
01/04/2022,65,9.5,28.2,65,,18
01/05/2022,60,7.9,26.5,60,,14
01/06/2022,58,8.6,25,57,31,16
01/07/2022,48,6.8,23.1,48,26,15
01/08/2022,56,8.5,26.2,56,31,17
01/09/2022,56,9.7,27.5,54,33,19
01/10/2022,65,10.9,29.3,62,38,21
01/11/2022,58,7.5,26.4,58,32,18
01/12/2022,62,9.5,25.3,62,33,20
