,date,max_temp
0,2021-01-01,30.5
1,2021-01-02,35.7
2,2021-01-03,38.5
3,2021-01-04,42.0
4,2021-01-05,42.9
5,2021-01-06,41.6
6,2021-01-07,37.9
7,2021-01-08,32.7
8,2021-01-09,25.6
9,2021-01-10,35.9
10,2021-01-11,34.9
11,2021-01-12,32.7
12,2021-01-13,33.5
13,2021-01-14,33.1
14,2021-01-15,33.9
15,2021-01-16,34.6
16,2021-01-17,33.2
17,2021-01-18,33.4
18,2021-01-19,32.7
19,2021-01-20,32.3
20,2021-01-21,31.9
21,2021-01-22,32.0
22,2021-01-23,32.4
23,2021-01-24,33.2
24,2021-01-25,32.6
25,2021-01-26,31.8
26,2021-01-27,32.4
27,2021-01-28,33.4
28,2021-01-29,32.8
29,2021-01-30,33.2
30,2021-01-31,33.8
31,2021-02-01,31.5
32,2021-02-02,35.5
33,2021-02-03,38.3
34,2021-02-04,40.4
35,2021-02-05,43.4
36,2021-02-06,40.5
37,2021-02-07,37.2
38,2021-02-08,35.1
39,2021-02-09,31.3
40,2021-02-10,36.0
41,2021-02-11,34.8
42,2021-02-12,32.1
43,2021-02-13,31.7
44,2021-02-14,31.9
45,2021-02-15,29.7
46,2021-02-16,32.0
47,2021-02-17,32.9
48,2021-02-18,35.3
49,2021-02-19,35.6
50,2021-02-20,36.1
51,2021-02-21,36.9
52,2021-02-22,34.5
53,2021-02-23,36.6
54,2021-02-24,37.2
55,2021-02-25,37.9
56,2021-02-26,36.9
57,2021-02-27,38.6
58,2021-02-28,38.3
59,2021-03-01,31.0
60,2021-03-02,35.5
61,2021-03-03,38.0
62,2021-03-04,38.5
63,2021-03-05,43.3
64,2021-03-06,37.1
65,2021-03-07,33.7
66,2021-03-08,33.1
67,2021-03-09,30.9
68,2021-03-10,35.7
69,2021-03-11,35.2
70,2021-03-12,32.3
71,2021-03-13,37.2
72,2021-03-14,39.6
73,2021-03-15,39.3
74,2021-03-16,36.7
75,2021-03-17,24.2
76,2021-03-18,36.6
77,2021-03-19,37.6
78,2021-03-20,38.7
79,2021-03-21,39.3
80,2021-03-22,38.2
81,2021-03-23,39.2
82,2021-03-24,39.1
83,2021-03-25,36.7
84,2021-03-26,37.8
85,2021-03-27,37.8
86,2021-03-28,38.2
87,2021-03-29,39.0
88,2021-03-30,41.5
89,2021-03-31,40.4
90,2021-04-01,30.3
91,2021-04-02,36.0
92,2021-04-03,38.6
93,2021-04-04,40.2
94,2021-04-05,41.0
95,2021-04-06,42.1
96,2021-04-07,36.4
97,2021-04-08,35.8
98,2021-04-09,33.8
99,2021-04-10,36.1
100,2021-04-11,35.8
101,2021-04-12,32.1
102,2021-04-13,37.3
103,2021-04-14,37.8
104,2021-04-15,37.9
105,2021-04-16,37.0
106,2021-04-17,40.0
107,2021-04-18,40.6
108,2021-04-19,41.4
109,2021-04-20,41.4
110,2021-04-21,42.6
111,2021-04-22,42.1
112,2021-04-23,42.8
113,2021-04-24,42.5
114,2021-04-25,41.6
115,2021-04-26,42.4
116,2021-04-27,42.3
117,2021-04-28,42.0
118,2021-04-29,42.1
119,2021-04-30,42.6
120,2021-05-01,29.3
121,2021-05-02,35.7
122,2021-05-03,38.9
123,2021-05-04,39.2
124,2021-05-05,41.4
125,2021-05-06,40.7
126,2021-05-07,35.9
127,2021-05-08,34.7
128,2021-05-09,32.5
129,2021-05-10,36.0
130,2021-05-11,35.8
131,2021-05-12,34.6
132,2021-05-13,43.5
133,2021-05-14,42.3
134,2021-05-15,42.6
135,2021-05-16,41.7
136,2021-05-17,42.6
137,2021-05-18,42.6
138,2021-05-19,43.5
139,2021-05-20,43.5
140,2021-05-21,43.4
141,2021-05-22,43.1
142,2021-05-23,42.7
143,2021-05-24,41.6
144,2021-05-25,42.8
145,2021-05-26,43.4
146,2021-05-27,42.4
147,2021-05-28,40.6
148,2021-05-29,43.1
149,2021-05-30,43.7
150,2021-05-31,42.7
151,2021-06-01,31.7
152,2021-06-02,35.1
153,2021-06-03,38.0
154,2021-06-04,38.1
155,2021-06-05,42.0
156,2021-06-06,36.9
157,2021-06-07,35.0
158,2021-06-08,33.6
159,2021-06-09,32.1
160,2021-06-10,35.8
161,2021-06-11,35.1
162,2021-06-12,32.6
163,2021-06-13,34.7
164,2021-06-14,36.5
165,2021-06-15,37.6
166,2021-06-16,38.1
167,2021-06-17,37.9
168,2021-06-18,36.8
169,2021-06-19,36.7
170,2021-06-20,37.9
171,2021-06-21,38.8
172,2021-06-22,37.6
173,2021-06-23,33.7
174,2021-06-24,34.3
175,2021-06-25,33.7
176,2021-06-26,36.8
177,2021-06-27,33.5
178,2021-06-28,35.1
179,2021-06-29,32.4
180,2021-06-30,34.9
181,2021-07-01,31.9
182,2021-07-02,33.9
183,2021-07-03,38.9
184,2021-07-04,37.6
185,2021-07-05,42.5
186,2021-07-06,39.6
187,2021-07-07,24.3
188,2021-07-08,33.0
189,2021-07-09,29.4
190,2021-07-10,35.2
191,2021-07-11,35.9
192,2021-07-12,32.1
193,2021-07-13,26.9
194,2021-07-14,29.0
195,2021-07-15,28.7
196,2021-07-16,30.5
197,2021-07-17,28.1
198,2021-07-18,30.0
199,2021-07-19,32.6
200,2021-07-20,31.6
201,2021-07-21,31.9
202,2021-07-22,30.4
203,2021-07-23,30.5
204,2021-07-24,29.7
205,2021-07-25,33.4
206,2021-07-26,32.2
207,2021-07-27,31.1
208,2021-07-28,31.8
209,2021-07-29,32.2
210,2021-07-30,34.1
211,2021-07-31,33.5
212,2021-08-01,31.14
213,2021-08-02,30.7
214,2021-08-03,37.9
215,2021-08-04,38.5
216,2021-08-05,42.9
217,2021-08-06,34.5
218,2021-08-07,33.6
219,2021-08-08,30.8
220,2021-08-09,28.7
221,2021-08-10,35.8
222,2021-08-11,35.6
223,2021-08-12,34.6
224,2021-08-13,29.8
225,2021-08-14,33.9
226,2021-08-15,31.6
227,2021-08-16,30.1
228,2021-08-17,25.1
229,2021-08-18,25.5
230,2021-08-19,28.0
231,2021-08-20,28.5
232,2021-08-21,23.9
233,2021-08-22,28.5
234,2021-08-23,33.2
235,2021-08-24,32.2
236,2021-08-25,33.9
237,2021-08-26,32.2
238,2021-08-27,31.1
239,2021-08-28,27.6
240,2021-08-29,31.0
241,2021-08-30,35.0
242,2021-08-31,33.1
243,2021-09-01,29.9
244,2021-09-02,35.4
245,2021-09-03,37.8
246,2021-09-04,34.5
247,2021-09-05,42.9
248,2021-09-06,31.5
249,2021-09-07,28.9
250,2021-09-08,28.5
251,2021-09-09,35.1
252,2021-09-10,35.6
253,2021-09-11,35.8
254,2021-09-12,34.6
255,2021-09-13,34.9
256,2021-09-14,36.2
257,2021-09-15,36.4
258,2021-09-16,36.2
259,2021-09-17,36.3
260,2021-09-18,35.8
261,2021-09-19,35.8
262,2021-09-20,36.2
263,2021-09-21,35.5
264,2021-09-22,29.9
265,2021-09-23,35.8
266,2021-09-24,35.9
267,2021-09-25,35.5
268,2021-09-26,34.8
269,2021-09-27,35.1
270,2021-09-28,34.8
271,2021-09-29,35.0
272,2021-09-30,35.6
273,2021-10-01,29.8
274,2021-10-02,34.6
275,2021-10-03,36.8
276,2021-10-04,37.7
277,2021-10-05,43.6
278,2021-10-06,34.0
279,2021-10-07,25.1
280,2021-10-08,32.0
281,2021-10-09,34.8
282,2021-10-10,35.3
283,2021-10-11,35.9
284,2021-10-12,34.6
285,2021-10-13,35.3
286,2021-10-14,35.6
287,2021-10-15,35.3
288,2021-10-16,35.3
289,2021-10-17,35.8
290,2021-10-18,36.0
291,2021-10-19,36.1
292,2021-10-20,35.9
293,2021-10-21,36.1
294,2021-10-22,35.8
295,2021-10-23,35.9
296,2021-10-24,35.5
297,2021-10-25,35.7
298,2021-10-26,35.4
299,2021-10-27,35.2
