time,AQI,SO2,NOX,PM10,PM25,NH3
01/01/2016,69,8.0,22.0,69,,27
01/02/2016,59,9.0,25.0,59,,24
01/03/2016,44,7.7,32.1,42,,25
01/04/2016,62,7.0,29.0,62,,21
01/05/2016,52,5.0,21.0,52,,23
01/06/2016,48,5.0,19.0,47,,21
01/07/2016,32,4.0,20.0,23,,23
01/08/2016,36,6.0,20.0,33,,21
01/09/2016,31,6.0,23.0,29,,21
01/10/2016,56,6.0,23.0,50,,25
01/11/2016,69,7.0,23.0,69,,22
01/12/2016,84,7.0,26.0,83,,24
01/01/2017,84,7.0,25.0,84,,25
01/02/2017,75,7.0,31.0,75,,26
01/03/2017,86,8.0,26.0,86,,24
01/04/2017,79,8.0,26.0,79,,25
01/05/2017,82,7.0,27.0,82,,24
01/06/2017,59,6.6,22.0,59,,23
01/07/2017,55,7.0,27.0,51,,22
01/08/2017,55,6.0,26.0,56,,25
01/09/2017,62,7.0,22.0,62,,21
01/10/2017,71,8.0,32.0,69,,39
01/11/2017,91,7.0,22.0,91,,26
01/12/2017,90,7.7,26.7,90,,26
01/01/2018,111,7.9,38.5,117,57,25
01/02/2018,87,6.5,45.8,88,45,54
01/03/2018,89,7.4,36.3,89,43,62
01/04/2018,100,8.7,40.0,102,50,53
01/05/2018,100,8.8,41.9,100,,60
01/06/2018,100,9.1,39.0,101,,61
01/07/2018,89,8.7,33.6,89,41,59
01/08/2018,91,7.6,38.9,91,48,66
01/09/2018,100,9.1,40.2,101,37,53
01/10/2018,98,9.0,34.0,98,,56
01/11/2018,106,9.5,44.2,110,,54
01/12/2018,100,9.3,40.2,100,,56
01/01/2019,104,10.7,54.4,107,,62
01/02/2019,102,10.7,58.4,103,,64
01/03/2019,103,10.4,57.8,105,,70
01/04/2019,109,10.4,61.2,113,,75
01/05/2019,103,10.2,58.9,105,,71
01/06/2019,99,9.1,50.5,100,,69
01/07/2019,100,9.1,47.8,100,,63
01/08/2019,99,8.5,51.8,102,,74
01/09/2019,97,8.0,51.2,97,,64
01/10/2019,102,7.4,50.1,104,,66
01/11/2019,105,7.1,52.4,107,,69
01/12/2019,112,6.8,56.2,119,,73
01/01/2020,111,6.1,52.5,116,,67
01/02/2020,114,6.4,56.3,121,,75
01/03/2020,110,6.5,49.3,115,,65
01/04/2020,39,7.0,38.0,33,,20
01/05/2020,72,7.8,45.2,72,,33
01/06/2020,58,8.4,37.1,55,,36
01/07/2020,114,9.0,48.1,124,,34
01/08/2020,70,8.0,43.0,70,,37
01/09/2020,96,7.7,43.3,99,,38
01/10/2020,137,7.8,38.9,156,,38
01/11/2020,114,7.0,64.8,120,,75
01/12/2020,108,8.0,45.6,114,,48
01/01/2021,110,7.1,56.6,114,,72
01/02/2021,110,7.1,47.0,116,,72
01/03/2021,69,8.2,41.7,65,,46
01/04/2021,73,8.2,40.7,72,,45
01/05/2021,68,8.3,42.4,68,,42
01/06/2021,72,7.9,39.7,69,,40
01/07/2021,57,6.6,32.4,57,,26
01/08/2021,64,6.9,32.4,64,,22
01/09/2021,66,6.7,34.7,66,,28
01/10/2021,68,7.2,35.3,68,,25
01/11/2021,73,6.8,34.2,73,,26
01/12/2021,82,7.9,30.9,83,,32
01/01/2022,82,7.8,30.3,82,,32
01/02/2022,90,6.4,27.9,92,,22
01/03/2022,96,6.8,26.7,99,,23
01/04/2022,70,8.0,28.4,70,,24
01/05/2022,76,6.3,26.8,78,36,20
01/06/2022,89,6.4,32.0,92,43,31
01/07/2022,69,7.0,29.3,69,,33
01/08/2022,55,6.0,27.4,55,29,19
01/09/2022,58,6.7,29.9,58,48,20
01/10/2022,63,6.7,30.6,62,40,29
01/11/2022,101,6.2,26.1,103,32,22
01/12/2022,126,6.2,32.7,139,48,35
