,date,max_temp
0,2021-01-01,33.2
1,2021-01-02,35.2
2,2021-01-03,35.7
3,2021-01-04,37.2
4,2021-01-05,43.8
5,2021-01-06,41.3
6,2021-01-07,36.3
7,2021-01-08,34.8
8,2021-01-09,31.8
9,2021-01-10,36.1
10,2021-01-11,32.6
11,2021-01-12,31.3
12,2021-01-13,34.7
13,2021-01-14,34.6
14,2021-01-15,34.3
15,2021-01-16,34.4
16,2021-01-17,35.3
17,2021-01-18,35.4
18,2021-01-19,34.8
19,2021-01-20,33.9
20,2021-01-21,32.6
21,2021-01-22,33.4
22,2021-01-23,31.6
23,2021-01-24,33.2
24,2021-01-25,33.6
25,2021-01-26,32.2
26,2021-01-27,33.6
27,2021-01-28,33.8
28,2021-01-29,32.6
29,2021-01-30,33.6
30,2021-01-31,33.1
31,2021-02-01,34.3
32,2021-02-02,34.5
33,2021-02-03,36.4
34,2021-02-04,35.9
35,2021-02-05,42.5
36,2021-02-06,42.7
37,2021-02-07,35.7
38,2021-02-08,36.0
39,2021-02-09,33.8
40,2021-02-10,35.5
41,2021-02-11,34.2
42,2021-02-12,30.4
43,2021-02-13,34.6
44,2021-02-14,34.6
45,2021-02-15,34.6
46,2021-02-16,34.6
47,2021-02-17,34.8
48,2021-02-18,35.9
49,2021-02-19,35.5
50,2021-02-20,35.1
51,2021-02-21,35.0
52,2021-02-22,37.2
53,2021-02-23,37.2
54,2021-02-24,37.2
55,2021-02-25,37.3
56,2021-02-26,37.2
57,2021-02-27,34.6
58,2021-02-28,35.3
59,2021-03-01,33.2
60,2021-03-02,36.0
61,2021-03-03,36.7
62,2021-03-04,37.9
63,2021-03-05,42.6
64,2021-03-06,33.9
65,2021-03-07,35.9
66,2021-03-08,34.8
67,2021-03-09,33.8
68,2021-03-10,34.3
69,2021-03-11,34.2
70,2021-03-12,31.3
71,2021-03-13,35.5
72,2021-03-14,36.2
73,2021-03-15,37.7
74,2021-03-16,35.6
75,2021-03-17,29.2
76,2021-03-18,31.8
77,2021-03-19,35.6
78,2021-03-20,35.3
79,2021-03-21,36.9
80,2021-03-22,37.3
81,2021-03-23,37.2
82,2021-03-24,40.3
83,2021-03-25,39.0
84,2021-03-26,37.7
85,2021-03-27,37.8
86,2021-03-28,37.8
87,2021-03-29,37.8
88,2021-03-30,39.5
89,2021-03-31,38.7
90,2021-04-01,33.4
91,2021-04-02,34.7
92,2021-04-03,36.2
93,2021-04-04,39.0
94,2021-04-05,38.4
95,2021-04-06,42.7
96,2021-04-07,34.4
97,2021-04-08,37.4
98,2021-04-09,35.5
99,2021-04-10,35.0
100,2021-04-11,35.5
101,2021-04-12,29.3
102,2021-04-13,38.6
103,2021-04-14,38.7
104,2021-04-15,38.2
105,2021-04-16,37.3
106,2021-04-17,40.3
107,2021-04-18,40.6
108,2021-04-19,40.5
109,2021-04-20,40.6
110,2021-04-21,42.7
111,2021-04-22,42.0
112,2021-04-23,42.4
113,2021-04-24,42.5
114,2021-04-25,43.1
115,2021-04-26,42.5
116,2021-04-27,42.5
117,2021-04-28,42.9
118,2021-04-29,42.1
119,2021-04-30,42.6
120,2021-05-01,32.9
121,2021-05-02,34.8
