time,AQI,SO2,NOX,PM10,PM25,NH3,,,,,,,,,
01/01/2016,47,6.0,19.0,46,,,,,,,,,,,
01/02/2016,51,7.0,19.0,51,,,,,,,,,,,
01/03/2016,54,6.1,20.7,54,,,,,,,,,,,
01/04/2016,51,8.0,19.0,51,,,,,,,,,,,
01/05/2016,47,7.0,19.0,47,,,,,,,,,,,
01/06/2016,47,5.0,21.0,47,,20,,,,,,,,,
01/07/2016,41,8.0,22.0,41,,22,,,,,,,,,
01/08/2016,37,5.0,14.0,37,,20,,,,,,,,,
01/09/2016,39,8.0,17.0,39,,21,,,,,,,,,
01/10/2016,48,7.0,23.0,48,,21,,,,,,,,,
01/11/2016,55,7.0,24.0,55,,28,,,,,,,,,
01/12/2016,60,8.0,27.0,60,,22,,,,,,,,,
01/01/2017,60,7.0,27.0,60,,21,,,,,,,,,
01/02/2017,64,8.0,26.0,64,,23,,,,,,,,,
01/03/2017,54,8.0,28.0,54,,27,,,,,,,,,
01/04/2017,55,8.0,27.0,54,,23,,,,,,,,,
01/05/2017,57,8.0,27.0,57,,23,,,,,,,,,
01/06/2017,42,7.4,24.0,42,,23,,,,,,,,,
01/07/2017,41,7.0,22.0,38,,22,,,,,,,,,
01/08/2017,53,6.0,23.0,64,,21,,,,,,,,,
01/09/2017,50,7.0,22.0,50,,19,,,,,,,,,
01/10/2017,63,7.0,19.0,63,,29,,,,,,,,,
01/11/2017,54,7.0,20.0,54,,32,,,,,,,,,
01/12/2017,60,7.7,26.3,60,,26,,,,,,,,,
01/01/2018,64,8.1,28,67,,25,,,,,,,,,
01/02/2018,68,,38.6,66,,62,,,,,,,,,
01/03/2018,71,7.2,31.6,71,,55,,,,,,,,,
01/04/2018,77,8.6,36.0,77,,49,,,,,,,,,
01/05/2018,77,8.5,40.1,77,,58,,,,,,,,,
01/06/2018,83,8.8,37.9,83,,57,,,,,,,,,
01/07/2018,75,8.6,36.8,75,,56,,,,,,,,,
01/08/2018,79,8.7,36.4,79,,51,,,,,,,,,
01/09/2018,84,8.9,38.7,84,,54,,,,,,,,,
01/10/2018,85,9.1,37.9,85,,53,,,,,,,,,
01/11/2018,92,9.7,44.3,92,,54,,,,,,,,,
01/12/2018,88,9.6,41.8,88,,63,,,,,,,,,
01/01/2019,94,10.6,55.1,95,,62,,,,,,,,,
01/02/2019,90,9.2,57.8,90,,65,,,,,,,,,
01/03/2019,91,10.2,54.6,91,,67,,,,,,,,,
01/04/2019,90,9.9,54.8,90,,73,,,,,,,,,
01/05/2019,88,8.7,53.6,88,,68,,,,,,,,,
01/06/2019,81,8.6,46.9,81,,64,,,,,,,,,
01/07/2019,77,8.1,49.8,77,,61,,,,,,,,,
01/08/2019,84,8.4,48.5,84,,60,,,,,,,,,
01/09/2019,78,8.0,49.7,78,,64,,,,,,,,,
01/10/2019,86,7.1,50.8,86,,61,,,,,,,,,
01/11/2019,85,6.9,52.0,85,,64,,,,,,,,,
01/12/2019,84,6.6,48.9,84,,68,,,,,,,,,
01/01/2020,88,6.0,49.1,88,,66,,,,,,,,,
01/02/2020,84,6.4,49.0,84,,67,,,,,,,,,
01/03/2020,83,6.1,45.0,83,,65,,,,,,,,,
01/04/2020,80,6.0,20.0,80,,20,,,,,,,,,
01/05/2020,63,6.5,47.1,54,,35,,,,,,,,,
01/06/2020,48,8.3,37.2,43,,45,,,,,,,,,
01/07/2020,70,7.9,45.1,43,,37,,,,,,,,,
01/08/2020,37,8.0,26.0,33,,33,,,,,,,,,
01/09/2020,52,7.1,38.6,37,,40,,,,,,,,,
01/10/2020,62,7.4,39.9,49,,40,,,,,,,,,
01/11/2020,83,6.3,49.7,82,,67,,,,,,,,,
01/12/2020,95,7.4,38.6,98,,41,,,,,,,,,
01/01/2021,100,6.8,47.0,101,,67,,,,,,,,,
01/02/2021,84,6.8,38.0,84,,68,,,,,,,,,
01/03/2021,68,7.7,36.2,65,,43,,,,,,,,,
01/04/2021,54,7.9,27.6,54,,46,,,,,,,,,
01/05/2021,80,,,,,,,,,,,,,,
01/06/2021,88,8.4,34.1,90,,38,,,,,,,,,
01/07/2021,69,5.5,35.9,69,,60,,,,,,,,,
01/08/2021,67,6.0,35.9,67,,60,,,,,,,,,
01/09/2021,85,9.2,34.0,85,,48,,,,,,,,,
01/10/2021,61,7.4,31.0,61,,48,,,,,,,,,
01/11/2021,86,7.5,37.6,86,,53,,,,,,,,,
01/12/2021,78,7.0,41.8,78,,55,,,,,,,,,
01/01/2022,80,6.8,29.8,80,,45,,,,,,,,,
01/02/2022,78,7.6,30.7,78,,48,,,,,,,,,
01/03/2022,77,7.8,51.5,76,,65,,,,,,,,,
01/04/2022,79,7.3,44.6,78,,65,,,,,,,,,
01/05/2022,77,7.1,41.0,77,,66,,,,,,,,,
01/06/2022,81,7.4,45.4,81,,67,,,,,,,,,
01/07/2022,73,7.4,45.6,73,,62,,,,,,,,,
01/08/2022,58,7.4,41.5,56,52,44,,,,,,,,,
01/09/2022,42,7.0,31.2,41,60,38,,,,,,,,,
01/10/2022,57,7.4,30.9,57,66,39,,,,,,,,,
01/11/2022,78,8.0,30.0,78,64,35,,,,,,,,,
01/12/2022,115,7.1,29.1,112,56,33,,,,,,,,,
