,date,max_temp
76488,2022-01-01,32.8
76489,2022-01-02,33.0
76490,2022-01-03,33.8
76491,2022-01-04,34.0
76492,2022-01-05,31.7
76493,2022-01-06,32.2
76494,2022-01-07,31.8
76495,2022-01-08,32.7
76496,2022-01-09,32.1
76497,2022-01-10,31.8
76498,2022-01-11,30.9
76499,2022-01-12,31.6
76500,2022-01-13,29.0
76501,2022-01-14,27.9
76502,2022-01-15,29.1
76503,2022-01-16,32.7
76504,2022-01-17,32.7
76505,2022-01-18,31.5
76506,2022-01-19,32.6
76507,2022-01-20,32.7
76508,2022-01-21,33.0
76509,2022-01-22,33.4
76510,2022-01-23,32.6
76511,2022-01-24,33.3
76512,2022-01-25,32.4
76513,2022-01-26,33.2
76514,2022-01-27,33.7
76515,2022-01-28,31.3
76516,2022-01-29,31.8
76517,2022-01-30,33.5
76518,2022-01-31,32.9
59352,2022-02-01,36.8
59353,2022-02-02,36.5
59354,2022-02-03,36.6
59355,2022-02-04,36.1
59356,2022-02-05,34.5
59357,2022-02-06,35.8
59358,2022-02-07,36.9
59359,2022-02-08,36.3
59360,2022-02-09,36.5
59361,2022-02-10,34.6
59362,2022-02-11,34.7
59363,2022-02-12,36.5
59364,2022-02-13,36.2
59365,2022-02-14,36.4
59366,2022-02-15,36.3
59367,2022-02-16,35.1
59368,2022-02-17,36.4
59369,2022-02-18,36.1
59370,2022-02-19,36.5
59371,2022-02-20,37.2
59372,2022-02-21,37.2
59373,2022-02-22,39.2
59374,2022-02-23,38.7
59375,2022-02-24,37.4
59376,2022-02-25,38.2
59377,2022-02-26,38.3
59378,2022-02-27,38.0
59379,2022-02-28,38.7
131136,2022-03-01,37.7
131137,2022-03-02,38.2
131138,2022-03-03,36.8
131139,2022-03-04,36.1
131140,2022-03-05,37.1
131141,2022-03-06,35.9
131142,2022-03-07,34.9
131143,2022-03-08,37.2
131144,2022-03-09,38.2
131145,2022-03-10,37.4
131146,2022-03-11,36.7
131147,2022-03-12,38.2
131148,2022-03-13,38.5
131149,2022-03-14,39.7
131150,2022-03-15,39.3
131151,2022-03-16,39.5
131152,2022-03-17,41.2
131153,2022-03-18,42.1
131154,2022-03-19,37.9
131155,2022-03-20,36.1
131156,2022-03-21,38.4
131157,2022-03-22,39.5
131158,2022-03-23,39.2
131159,2022-03-24,38.0
131160,2022-03-25,37.0
131161,2022-03-26,37.3
131162,2022-03-27,37.8
131163,2022-03-28,38.1
131164,2022-03-29,40.0
131165,2022-03-30,40.5
131166,2022-03-31,40.8
5040,2022-04-01,37.2
5041,2022-04-02,37.2
5042,2022-04-03,38.6
5043,2022-04-04,38.0
5044,2022-04-05,39.0
5045,2022-04-06,37.4
5046,2022-04-07,38.7
5047,2022-04-08,37.9
5048,2022-04-09,38.8
5049,2022-04-10,38.8
5050,2022-04-11,39.3
5051,2022-04-12,40.2
5052,2022-04-13,39.4
5053,2022-04-14,40.9
5054,2022-04-15,40.7
5055,2022-04-16,38.4
5056,2022-04-17,39.6
5057,2022-04-18,39.0
5058,2022-04-19,40.4
5059,2022-04-20,42.1
5060,2022-04-21,42.6
5061,2022-04-22,39.0
5062,2022-04-23,39.4
5063,2022-04-24,39.7
5064,2022-04-25,42.1
