time,AQI,SO2,NOX,PM10,PM25,NH3
01/01/2016,62,,,67,,
01/02/2016,64,,,64,,
01/03/2016,66,,,66,,
01/04/2016,68,,,68,,
01/05/2016,69,,,71,43,
01/06/2016,38,4.0,15.0,61,38,21
01/07/2016,57,4.0,17.0,57,28,21
01/08/2016,58,5.0,18.0,58,28,21
01/09/2016,56,5.0,18.0,56,27,21
01/10/2016,64,6.0,22.0,64,32,21
01/11/2016,60,5.0,21.0,60,29,21
01/12/2016,62,5.0,21.0,62,32,21
01/01/2017,61,5.0,20.0,61,32,21
01/02/2017,62,5.0,20.0,62,30,21
01/03/2017,63,5.0,21.0,63,31,21
01/04/2017,67,5.0,20.0,67,34,21
01/05/2017,68,5.0,20.0,68,33,21
01/06/2017,63,5.0,20.0,63,30,17
01/07/2017,57,5.0,21.0,57,26,17
01/08/2017,60,5.0,21.0,59,27,17
01/09/2017,59,5.0,21.0,60,27,17
01/10/2017,61,6.0,21.0,59,28,17
01/11/2017,61,6.0,21.0,59,27,17
01/12/2017,59,6.0,22.0,59,26,18
01/01/2018,61,6.0,22.4,61,24,
01/02/2018,61,6.0,22.4,61,25,
01/03/2018,66,5.9,22.2,66,31,
01/04/2018,70,5.9,21.8,70,32,
01/05/2018,54,5.9,22.6,47,32,
01/06/2018,64,5.9,22.3,64,26,
01/07/2018,59,5.7,22.5,59,24,
01/08/2018,60,5.6,22.4,60,24,
01/09/2018,64,5.8,23.1,64,24,
01/10/2018,48,6.2,23.6,48,24,
01/11/2018,60,5.6,25.0,56,37,
01/12/2018,62,5.7,24.6,62,,
01/01/2019,64,5.5,24.3,64,,
01/02/2019,61,5.6,24.9,61,,
01/03/2019,61,5.6,24.4,61,,
01/04/2019,62,5.6,23.4,62,,
01/05/2019,64,5.5,25.0,64,,
01/06/2019,69,5.7,26.0,64,41,
01/07/2019,72,5.4,25.6,64,43,
01/08/2019,71,4.8,24.4,65,42,
01/09/2019,61,4.4,23.5,61,,
01/10/2019,69,4.8,25.2,64,39,
01/11/2019,62,4.6,24.7,62,,
01/12/2019,66,5.4,25.9,63,40,
01/01/2020,64,5.5,27.3,60,37,10
01/02/2020,64,5.5,26.6,60,38,10
01/03/2020,66,,,,40,
01/04/2020,38,,,,23,
01/05/2020,50,,,,30,
01/06/2020,52,4.9,24.1,52,36,10
01/07/2020,63,5.2,25.8,63,29,10
01/08/2020,60,4.7,22.2,60,27,10
01/09/2020,62,5.4,24.8,60,33,10
01/10/2020,62,5.2,24.7,62,33,10
01/11/2020,63,6.1,25.9,62,33,10
01/12/2020,81,6.0,26.4,71,48,10
01/01/2021,69,5.8,24.7,68,35,15
01/02/2021,68,5.1,23.4,67,34,20
01/03/2021,66,5.7,24.8,66,30,20
01/04/2021,69,5.3,25.1,67,35,19
01/05/2021,41,6.0,26.0,60,24,17
01/06/2021,57,,,,26,
01/07/2021,54,5.7,24.8,54,,16
01/08/2021,45,5.3,22.4,45,,15
01/09/2021,43,5.0,23.1,43,,16
01/10/2021,59,6.2,27.3,59,,17
01/11/2021,66,6.4,26.7,66,,17
01/12/2021,57,5.8,25.5,57,,14
01/01/2022,56,6.9,25.5,56,,14
01/02/2022,59,7.5,27.5,59,,15
01/03/2022,64,6.6,26.1,64,,17
01/04/2022,58,7.8,24.0,58,,16
01/05/2022,56,7.3,24.6,56,,14
01/06/2022,54,6.0,23.4,52,30,15
01/07/2022,46,5.5,21.3,46,24,13
01/08/2022,53,6.7,23.3,52,28,14
01/09/2022,54,7.9,25.0,51,31,16
01/10/2022,63,8.6,27.4,61,35,18
01/11/2022,56,6.8,25.0,56,30,16
01/12/2022,59,7.5,22.6,60,29,17
