,date,max_temp
0,2021-01-01,28.5
1,2021-01-02,34.0
2,2021-01-03,35.8
3,2021-01-04,40.3
4,2021-01-05,44.0
5,2021-01-06,42.6
6,2021-01-07,37.2
7,2021-01-08,37.2
8,2021-01-09,32.1
9,2021-01-10,36.6
10,2021-01-13,33.0
11,2021-01-14,33.2
12,2021-01-15,34.0
13,2021-01-16,31.5
14,2021-01-17,31.8
15,2021-01-18,30.8
16,2021-01-19,30.8
17,2021-01-20,30.3
18,2021-01-21,29.0
19,2021-01-22,30.6
20,2021-01-23,31.3
21,2021-01-24,32.6
22,2021-01-25,29.2
23,2021-01-26,29.4
24,2021-01-27,29.6
25,2021-01-28,30.9
26,2021-01-29,35.8
27,2021-01-30,35.7
28,2021-01-31,36.1
29,2021-02-01,30.8
30,2021-02-02,36.1
31,2021-02-03,36.2
32,2021-02-04,37.9
33,2021-02-05,42.8
34,2021-02-06,37.7
35,2021-02-07,37.7
36,2021-02-08,35.0
37,2021-02-09,34.6
38,2021-02-10,34.6
39,2021-02-13,35.3
40,2021-02-14,33.1
41,2021-02-15,33.4
42,2021-02-16,35.1
43,2021-02-17,35.8
44,2021-02-18,32.2
45,2021-02-19,35.1
46,2021-02-20,35.5
47,2021-02-21,33.7
48,2021-02-22,33.5
49,2021-02-23,33.7
50,2021-02-24,35.0
51,2021-02-25,34.8
52,2021-02-26,34.4
53,2021-02-27,34.3
54,2021-02-28,35.0
55,2021-03-01,31.1
56,2021-03-02,35.6
57,2021-03-03,37.8
58,2021-03-04,37.8
59,2021-03-05,42.8
60,2021-03-06,37.6
61,2021-03-07,37.4
62,2021-03-08,34.9
63,2021-03-09,35.6
64,2021-03-13,37.2
65,2021-03-14,39.5
66,2021-03-15,38.8
67,2021-03-16,37.9
68,2021-03-17,29.5
69,2021-03-18,34.6
70,2021-03-19,37.8
71,2021-03-20,37.2
72,2021-03-21,38.0
73,2021-03-22,38.0
74,2021-03-23,37.8
75,2021-03-24,37.8
76,2021-03-25,37.8
77,2021-03-26,38.3
78,2021-03-27,38.9
79,2021-03-28,41.1
80,2021-03-29,40.3
81,2021-03-30,40.9
82,2021-03-31,40.3
83,2021-04-01,30.4
84,2021-04-02,33.1
85,2021-04-03,38.3
86,2021-04-04,40.3
87,2021-04-05,41.6
88,2021-04-06,42.3
89,2021-04-07,35.1
90,2021-04-08,36.4
91,2021-04-09,35.1
92,2021-04-13,39.4
93,2021-04-14,40.3
94,2021-04-15,40.3
95,2021-04-16,37.9
96,2021-04-17,40.3
97,2021-04-18,42.4
98,2021-04-19,42.9
99,2021-04-20,43.1
100,2021-04-21,43.5
101,2021-04-22,42.3
102,2021-04-23,43.0
103,2021-04-24,42.6
104,2021-04-25,43.5
105,2021-04-26,42.5
106,2021-04-27,42.6
107,2021-04-28,42.9
108,2021-04-29,42.9
109,2021-04-30,43.5
110,2021-05-01,28.8
111,2021-05-02,35.3
112,2021-05-03,40.3
113,2021-05-04,40.9
114,2021-05-05,41.7
115,2021-05-06,39.9
116,2021-05-07,37.2
117,2021-05-08,36.4
118,2021-05-09,34.7
119,2021-05-13,42.6
120,2021-05-14,42.4
121,2021-05-15,42.3
122,2021-05-16,41.9
123,2021-05-17,42.7
124,2021-05-18,43.3
125,2021-05-19,42.1
126,2021-05-20,43.7
127,2021-05-21,44.8
128,2021-05-22,42.5
129,2021-05-23,41.5
130,2021-05-24,35.0
131,2021-05-25,42.0
132,2021-05-26,43.3
133,2021-05-27,42.2
134,2021-05-28,39.9
135,2021-05-29,43.9
136,2021-05-30,43.9
137,2021-05-31,43.9
138,2021-06-01,29.5
139,2021-06-02,35.1
140,2021-06-03,40.3
141,2021-06-04,40.3
142,2021-06-05,42.8
143,2021-06-06,39.8
