,date,max_temp
0,2019-01-01,26.4
1,2019-01-02,28.7
2,2019-01-03,32.3
3,2019-01-04,40.7
4,2019-01-05,40.5
5,2019-01-06,41.1
6,2019-01-07,30.4
7,2019-01-08,35.2
8,2019-01-09,32.9
9,2019-01-10,33.0
10,2019-01-11,30.4
11,2019-01-12,32.5
12,2019-01-13,28.2
13,2019-01-14,29.6
14,2019-01-15,30.9
15,2019-01-16,29.6
16,2019-01-17,28.8
17,2019-01-18,30.1
18,2019-01-19,30.8
19,2019-01-20,30.1
20,2019-01-21,31.5
21,2019-01-22,30.6
22,2019-01-23,29.6
23,2019-01-24,29.2
24,2019-01-25,29.6
25,2019-01-26,28.3
26,2019-01-27,27.3
27,2019-01-28,21.5
28,2019-01-29,23.9
29,2019-01-30,24.5
30,2019-01-31,25.7
31,2019-02-01,30.3
32,2019-02-02,29.5
33,2019-02-03,33.8
34,2019-02-04,39.7
35,2019-02-05,39.7
36,2019-02-06,37.9
37,2019-02-07,30.4
38,2019-02-08,31.7
39,2019-02-09,30.8
40,2019-02-10,35.1
41,2019-02-11,33.1
42,2019-02-12,31.7
43,2019-02-13,31.0
44,2019-02-14,33.3
45,2019-02-15,32.9
46,2019-02-16,33.3
47,2019-02-17,33.4
48,2019-02-18,32.4
49,2019-02-19,33.7
50,2019-02-20,33.8
51,2019-02-21,32.4
52,2019-02-22,34.2
53,2019-02-23,37.5
54,2019-02-24,37.3
55,2019-02-25,37.4
56,2019-02-26,37.6
57,2019-02-27,33.3
58,2019-02-28,32.9
59,2019-03-01,31.6
60,2019-03-02,30.1
61,2019-03-03,33.5
62,2019-03-04,38.3
63,2019-03-05,41.3
64,2019-03-06,43.4
65,2019-03-07,31.5
66,2019-03-08,25.2
67,2019-03-09,30.2
68,2019-03-10,33.5
69,2019-03-11,33.1
70,2019-03-12,27.6
71,2019-03-13,36.5
72,2019-03-14,37.3
73,2019-03-15,37.6
74,2019-03-16,37.2
75,2019-03-17,35.6
76,2019-03-18,36.5
77,2019-03-19,33.8
78,2019-03-20,36.9
79,2019-03-21,35.4
80,2019-03-22,35.8
81,2019-03-23,37.0
82,2019-03-24,38.0
83,2019-03-25,38.0
84,2019-03-26,37.8
85,2019-03-27,37.4
86,2019-03-28,38.1
87,2019-03-29,38.2
88,2019-03-30,39.0
89,2019-03-31,39.2
90,2019-04-01,30.9
91,2019-04-02,31.5
92,2019-04-03,34.2
93,2019-04-04,37.8
94,2019-04-05,39.1
95,2019-04-06,41.1
96,2019-04-07,32.8
97,2019-04-08,30.4
98,2019-04-09,30.1
99,2019-04-10,34.4
100,2019-04-11,31.8
101,2019-04-12,32.6
102,2019-04-13,41.0
103,2019-04-14,39.8
104,2019-04-15,40.4
105,2019-04-16,40.0
106,2019-04-17,39.4
107,2019-04-18,37.4
108,2019-04-19,37.8
109,2019-04-20,38.0
110,2019-04-21,36.8
111,2019-04-22,38.3
112,2019-04-23,38.1
113,2019-04-24,38.8
114,2019-04-25,39.9
115,2019-04-26,40.5
116,2019-04-27,41.1
117,2019-04-28,42.4
118,2019-04-29,40.2
119,2019-04-30,41.4
120,2019-05-01,31.0
121,2019-05-02,31.6
122,2019-05-03,36.8
123,2019-05-04,37.6
124,2019-05-05,41.0
125,2019-05-06,39.7
126,2019-05-07,35.4
127,2019-05-08,31.3
128,2019-05-09,32.6
129,2019-05-10,33.3
130,2019-05-11,32.3
131,2019-05-12,30.4
132,2019-05-13,38.0
133,2019-05-14,40.8
134,2019-05-15,39.7
135,2019-05-16,39.4
136,2019-05-17,41.0
137,2019-05-18,41.0
138,2019-05-19,42.4
139,2019-05-20,41.9
140,2019-05-21,41.2
141,2019-05-22,40.7
142,2019-05-23,41.7
143,2019-05-24,40.6
144,2019-05-25,42.3
145,2019-05-26,43.4
146,2019-05-27,45.1
147,2019-05-28,44.0
148,2019-05-29,44.0
149,2019-05-30,42.4
150,2019-05-31,38.6
151,2019-06-01,29.3
152,2019-06-02,32.3
153,2019-06-03,33.5
154,2019-06-04,38.0
155,2019-06-05,40.8
156,2019-06-06,42.9
157,2019-06-07,32.3
158,2019-06-08,33.1
159,2019-06-09,33.8
160,2019-06-10,35.3
161,2019-06-11,32.6
162,2019-06-12,29.95
163,2019-06-13,41.7
164,2019-06-14,40.3
165,2019-06-15,39.9
166,2019-06-16,41.5
167,2019-06-17,40.5
168,2019-06-18,37.6
169,2019-06-19,39.4
170,2019-06-20,40.1
171,2019-06-21,39.2
172,2019-06-22,34.5
173,2019-06-23,35.2
174,2019-06-24,32.3
175,2019-06-25,37.3
176,2019-06-26,37.9
177,2019-06-27,38.0
178,2019-06-28,37.9
179,2019-06-29,36.2
180,2019-06-30,32.5
181,2019-07-01,27.9
182,2019-07-02,31.0
183,2019-07-03,33.5
184,2019-07-04,38.5
185,2019-07-05,42.4
186,2019-07-06,41.1
187,2019-07-07,33.9
188,2019-07-08,26.5
189,2019-07-09,30.3
190,2019-07-10,34.8
191,2019-07-11,32.7
192,2019-07-12,29.65
193,2019-07-13,35.8
194,2019-07-14,35.6
195,2019-07-15,35.1
196,2019-07-16,35.7
197,2019-07-17,36.5
198,2019-07-18,37.9
199,2019-07-19,37.6
200,2019-07-20,36.6
201,2019-07-21,32.6
202,2019-07-22,35.3
203,2019-07-23,36.1
204,2019-07-24,35.5
205,2019-07-25,36.9
206,2019-07-26,35.1
